"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2014-11-30,"Solano","CA","Vallejo",161,1734,-0.000576368876080692,0.0099009900990099,0.0547445255474453,115499
2014-11-30,"Mobile","AL","Mobile",162,896,-0.00333704115684093,-0.00444444444444444,0.020501138952164,131384
2014-11-30,"Berks","PA","Reading",163,1235,0.0122950819672131,-0.00563607085346216,-0.00803212851405622,107407
2014-11-30,"Cameron","TX","Brownsville",164,842,0.01323706377858,-0.00118623962040332,-0.0175029171528588,112313
2014-11-30,"Prince William","VA","Washington",165,1914,-0.00260552371026576,-0.0093167701863354,0.00104602510460251,114690
2014-11-30,"Hillsborough","NH","Manchester",166,1635,-0.0168370414912808,-0.0156532209512342,0.0289490245437382,89585
2014-11-30,"Dakota","MN","Minneapolis-St Paul",167,1599,0.00692695214105793,0.0184713375796178,0.0263157894736842,128210
2014-11-30,"Ada","ID","Boise City",168,1196,0.000836820083682008,0.00588730025231287,0.054673721340388,122444
2014-11-30,"Waukesha","WI","Milwaukee",169,1667,0.00907990314769976,-0.0095068330362448,-0.0364161849710983,131157
2014-11-30,"Richland","SC","Columbia",170,1114,0.0099728014505893,0.00905797101449275,0.0108892921960073,114760
2014-11-30,"Pulaski","AR","Little Rock",171,989,0.0216942148760331,-0.00201816347124117,-0.00201816347124117,128366
2014-11-30,"Clackamas","OR","Portland",172,1732,0.00639163277164439,0.0352659892408846,0.0777846919726198,123534
2014-11-30,"Pinal","AZ","Phoenix",173,950,0.00529100529100529,0.0127931769722814,0.043956043956044,103698
2014-11-30,"Stark","OH","Canton",174,946,-0.0145833333333333,-0.0405679513184584,-0.0104602510460251,117674
2014-11-30,"Orange","NY","Poughkeepsie",175,1776,0.00966458214894827,0.028372900984366,0.0502661147250148,93232
2014-11-30,"Butler","OH","Cincinnati",176,1288,0.00625,0.0262948207171315,0.032051282051282,111175
2014-11-30,"Mercer","NJ","Trenton",177,1796,-0.00111234705228031,0.0061624649859944,0.0158371040723982,106878
2014-11-30,"Saint Charles","MO","St. Louis",178,1476,0.00339904826648538,0.0130404941660947,0.0409026798307475,117398
2014-11-30,"Allen","IN","Fort Wayne",179,990,0.0050761421319797,0.00405679513184584,0.0554371002132196,100381
2014-11-30,"Lane","OR","Eugene",180,1201,0.0238704177323103,0.0498251748251748,0.0425347222222222,81528
2014-11-30,"Forsyth","NC","Winston-Salem",181,1028,0,0,-0.0200190657769304,115963
2014-11-30,"Charleston","SC","Charleston",182,1632,0.0111524163568773,0.0394904458598726,0.0909090909090909,122304
2014-11-30,"Lehigh","PA","Allentown",183,1383,-0.00431965442764579,-0.00646551724137931,0.0581484315225708,101701
2014-11-30,"Placer","CA","Sacramento",184,1831,0.00438837081733406,0.0093715545755237,0.00328767123287671,124346
2014-11-30,"Washtenaw","MI","Ann Arbor",185,1724,0.00524781341107872,0.00524781341107872,0.0493000608642727,105168
