"Date","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2014-11-30,"Morgan","GA",,970,206000,-0.00434992750120831,0.00881488736532811,0.180515759312321,0.00343313620720775,,"2006-01","2006-Q1",263200,-0.217325227963526,
2014-11-30,"Chaffee","CO",,971,272700,0.00073394495412844,-0.0010989010989011,0.0364880273660205,0.00154731067472258,0.0223124163546755,"2011-01","2011-Q1",280700,-0.0285001781261133,"2010-08"
2014-11-30,"Rush","IN",,972,79400,-0.0112079701120797,-0.00997506234413965,0.0179487179487179,-0.0262608241218796,-0.02416081175842,"2005-03","2005-Q1",105500,-0.24739336492891,"2001-05"
2014-11-30,"Parke","IN",,973,77800,-0.00256410256410256,-0.00384122919334187,-0.0615199034981906,0.0119874447940738,-0.0181090163517292,"2005-08","2005-Q3",95200,-0.182773109243697,"2003-10"
2014-11-30,"Fountain","IN",,974,82700,-0.00720288115246099,0.015970515970516,0.128240109140518,0.0455131607644694,-0.0164293310053248,"2005-02","2005-Q1",98100,-0.156982670744139,"2003-11"
2014-11-30,"Pitkin","CO",,975,1045500,0.00499855810823801,0.00239693192713327,0.0899708090075063,0.000306355008000692,0.0340102150315857,"2008-01","2008-Q1",1527700,-0.315637887019703,"2006-07"
2014-11-30,"Chester","TN","Jackson",976,90300,0.00556792873051225,0.0180383314543405,-0.0248380129589633,0.0100408002117773,0.0164575326542926,"2014-01","2014-Q1",93000,-0.0290322580645161,"2013-01"
2014-11-30,"Wayne","TN",,977,90600,0.0089086859688196,0.0449826989619377,0.166023166023166,0.0413082173631123,,"2014-11","2014-Q4",90600,0,"2014-11"
2014-11-30,"Gilchrist","FL","Gainesville",978,107600,0.00749063670411985,0.0257387988560534,0.0286806883365201,-0.0306170011908712,-0.0110947912710934,"2006-09","2006-Q3",159800,-0.32665832290363,"2004-07"
2014-11-30,"Polk","TN","Cleveland",979,118000,0.00940975192472198,0.0260869565217391,0.141199226305609,0.0216807916642265,0.0335907535803905,"2014-11","2014-Q4",118000,0,"2014-11"
2014-11-30,"Benton","TN",,980,77400,0.00129366106080207,-0.00257731958762887,0.160419790104948,0.0374591817913703,0.0249402739298219,"2014-08","2014-Q3",77600,-0.00257731958762887,"2014-08"
2014-11-30,"Dixie","FL",,981,69700,0.00287769784172662,-0.0113475177304965,0.0434131736526946,-0.0377781516563224,0.00188452279912132,"2008-09","2008-Q3",106200,-0.343691148775895,"2005-01"
2014-11-30,"Vermillion","IN","Terre Haute",982,76400,0.0079155672823219,0.0282637954239569,-0.034134007585335,0.0386644227996211,-0.0170111149736329,"2005-02","2005-Q1",92000,-0.169565217391304,"2003-12"
2014-11-30,"Park","CO","Denver",983,220800,0.0133088572739789,0.041018387553041,0.111222949169602,0.0281326169968898,0.0132331066590379,"2014-11","2014-Q4",220800,0,"2014-11"
2014-11-30,"Tipton","IN","Kokomo",984,102900,0.000972762645914397,0.027972027972028,0.0383451059535822,0.0152509394040337,-0.00993093512980892,"2005-06","2005-Q2",116100,-0.113695090439276,"2003-11"
2014-11-30,"Gulf","FL",,985,157100,0.0135483870967742,0.0349143610013175,0.119743406985032,0.0132408777559301,-0.0184204421472013,"2006-04","2006-Q2",236500,-0.335729386892178,"2004-03"
2014-11-30,"San Juan","WA",,986,409200,0.00392541707556428,0.011619283065513,0.0131220599158207,-0.016413018386268,0.0141102585622381,"2008-01","2008-Q1",506700,-0.192421551213736,"2005-07"
2014-11-30,"Gunnison","CO",,987,328300,0.0126465144972239,0.0617723156532988,0.126243567753002,0.0140354531908033,0.00738876801662469,"2007-07","2007-Q3",428400,-0.233660130718954,"2005-02"
2014-11-30,"Brown","IN","Indianapolis",988,155200,0.00323206205559147,0.00583279325988334,0.0298606502986065,0.0203914458620662,0.0118153484986312,"2014-03","2014-Q1",157400,-0.0139771283354511,"2014-02"
2014-11-30,"Crockett","TN",,989,75800,0.0201884253028264,0.0484094052558783,0.104956268221574,-0.00339522074277132,0.0150223435859114,"2009-11","2009-Q4",77100,-0.0168612191958495,"2009-07"
2014-11-30,"Manassas Park City","VA","Washington",990,257800,0.00900195694716243,0.023015873015873,0.0841042893187553,0.0934840471030658,-0.0107069181598448,"2006-12","2006-Q4",367100,-0.297739035685099,"2004-08"
2014-11-30,"Newton","IN","Chicago",991,87600,0.0022883295194508,0.0103806228373702,0.0233644859813084,0.00890904952921279,-0.0177675397351856,"2004-12","2004-Q4",105400,-0.16888045540797,"2003-11"
2014-11-30,"Williamsburg City","VA","Virginia Beach",992,261200,0.00888373889532638,0.0195160031225605,0.156775907883082,-0.0324253284059612,,"2009-11","2009-Q4",308000,-0.151948051948052,
2014-11-30,"Cannon","TN","Nashville",993,125200,0.0253890253890254,0.0529857022708158,0.133031674208145,0.0256655372129126,0.018921432578364,"2014-11","2014-Q4",125200,0,"2014-11"
2014-11-30,"Kodiak Island","AK","Kodiak",994,304100,0.000328947368421053,0.0249410178631614,0.10985401459854,,,"2010-09","2010-Q3",305500,-0.00458265139116203,"2010-08"
2014-11-30,"Pulaski","IN",,995,85700,-0.00116550116550117,0.0489596083231334,0.108667529107374,0.0345905445239718,-0.00760650488972947,"2005-07","2005-Q3",92900,-0.077502691065662,"2004-03"
2014-11-30,"Stewart","TN","Clarksville",996,94100,0.00426894343649947,0.00106382978723404,-0.0397959183673469,-0.0103008579403031,,"2011-08","2011-Q3",113300,-0.16946160635481,"2009-01"
2014-11-30,"Bledsoe","TN",,997,90400,0.034324942791762,0.0891566265060241,0.0904704463208685,0.0471497593297812,0.0223110202212526,"2014-11","2014-Q4",90400,0,"2014-11"
2014-11-30,"Pike","IN","Jasper",998,80300,0,0.0255427841634738,0.0294871794871795,0.0332043693925235,-0.0103450889852836,"2005-02","2005-Q1",90400,-0.111725663716814,"2004-08"
2014-11-30,"Blackford","IN",,999,54500,-0.0036563071297989,0.0130111524163569,0.0813492063492063,0.0165729679118414,-0.039087047798365,"2005-12","2005-Q4",83200,-0.344951923076923,"1997-06"
2014-11-30,"Camp","TX",,1000,108700,0.0196998123827392,0.0177902621722846,0.0667320902845927,,,"2010-03","2010-Q1",119400,-0.0896147403685092,
2014-11-30,"Falls Church City","VA","Washington",1001,701800,0.00587645119678945,0.018282066163668,0.0934870676223123,0.0511412708980135,0.0274905618341412,"2014-11","2014-Q4",701800,0,"2014-11"
2014-11-30,"Decatur","TN",,1002,66300,0,-0.0235640648011782,0.0247295208655332,-0.0110846864322206,0.0145189501268743,"2011-04","2011-Q2",73600,-0.0991847826086956,"2008-11"
2014-11-30,"Jackson","TN","Cookeville",1003,81700,0.00368550368550369,0.02125,0.0555555555555556,0.00522156691378561,,"2009-08","2009-Q3",83400,-0.0203836930455636,
