"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2014-11-30,"Ann Arbor, MI","MI",146,1724,0.00524781341107872,0.00524781341107872,0.0493000608642727,105168
2014-11-30,"Ocala, FL","FL",147,954,0.00104931794333683,0.00104931794333683,0.0553097345132743,101831
2014-11-30,"Kalamazoo, MI","MI",148,1051,0.0263671875,0.074642126789366,0.102833158447009,106837
2014-11-30,"South Bend, IN","IN",149,870,0.0175438596491228,0.0419161676646707,0.00928074245939675,109715
2014-11-30,"Kingsport, TN","TN",150,955,0.00526315789473684,0.0159574468085106,0.00420609884332282,105521
2014-11-30,"Roanoke, VA","VA",151,1110,0.0109289617486339,0.0230414746543779,0.00725952813067151,117399
2014-11-30,"Green Bay, WI","WI",152,1044,0.0116279069767442,0.0316205533596838,-0.03601108033241,100356
2014-11-30,"Charleston, WV","WV",153,983,0.0314795383001049,0.0218295218295218,-0.1246660730187,148011
2014-11-30,"Lincoln, NE","NE",154,1139,0.00529567519858782,0.0326382592928377,0.0951923076923077,84751
2014-11-30,"Fort Collins, CO","CO",155,1589,0.0185897435897436,0.0447074293228139,0.0928473177441541,103453
2014-11-30,"Fort Smith, AR","AR",156,852,0.00353356890459364,-0.00467289719626168,0.0289855072463768,72367
2014-11-30,"Columbus, GA","GA",157,910,0.0133630289532294,0.0224719101123596,-0.0130151843817787,79882
2014-11-30,"Boulder, CO","CO",158,2093,0.00287494010541447,0.00335570469798658,0.0194836824159766,96001
2014-11-30,"Huntington, WV","WV",159,898,-0.00332963374028857,-0.00663716814159292,0.00111482720178372,58276
2014-11-30,"Lubbock, TX","TX",160,1181,0.0189818809318378,0.0405286343612335,0.0432862190812721,77392
2014-11-30,"Spartanburg, SC","SC",161,979,-0.00203873598369011,0,-0.00305498981670061,84852
2014-11-30,"Erie, PA","PA",162,1132,0.0161579892280072,0.116370808678501,0.152749490835031,72843
2014-11-30,"Duluth, MN","MN",163,1052,-0.029520295202952,-0.072310405643739,-0.0513976555455365,103396
2014-11-30,"Atlantic City, NJ","NJ",164,1474,-0.002031144211239,-0.0296247531270573,-0.019294743845642,103507
2014-11-30,"New London, CT","CT",165,1466,0.00894700619408121,0.0316678395496129,0.020891364902507,79933
2014-11-30,"Clarksville, TN","TN",166,954,0.00210084033613445,0.00526870389884088,0.00739176346356917,70785
2014-11-30,"Lafayette, LA","LA",167,1470,-0.00809716599190283,0.027972027972028,0.130769230769231,67247
2014-11-30,"San Luis Obispo, CA","CA",168,2057,0.0153010858835143,0.0457549567869852,0.122204037097654,77315
2014-11-30,"Myrtle Beach, SC","SC",169,1096,0.0223880597014925,0.0448045757864633,0.111561866125761,130996
2014-11-30,"Hagerstown, WV","WV",170,1201,0.00586264656616415,0.0238704177323103,0.00334168755221387,84618
2014-11-30,"Gainesville, FL","FL",171,1173,0.00686695278969957,0.00170794192997438,-0.010126582278481,64280
2014-11-30,"Santa Cruz, CA","CA",172,2614,0.0139643134212568,0.0418493423674771,0.222066386161758,56410
2014-11-30,"Cedar Rapids, IA","IA",173,1096,-0.0275066548358474,-0.044463818657367,0.00274473924977127,52970
2014-11-30,"Merced, CA","CA",174,1042,-0.00382409177820268,0.000960614793467819,0.0347567030784508,54214
2014-11-30,"Kennewick, WA","WA",175,1243,-0.00956175298804781,-0.00240770465489567,0.0205254515599343,54415
2014-11-30,"Greeley, CO","CO",176,1453,0.0225193525686137,0.0843283582089552,0.129860031104199,69621
2014-11-30,"Lynchburg, VA","VA",177,1100,-0.0134529147982063,-0.0359333917616126,-0.0256864481842338,71642
2014-11-30,"Olympia, WA","WA",178,1415,0.0042583392476934,0.00999286224125625,0.01506456241033,79069
2014-11-30,"Bremerton, WA","WA",179,1478,0.00203389830508475,0,0.0271021542738013,74780
2014-11-30,"Laredo, TX","TX",180,1155,0.00961538461538462,0.00609756097560976,0.0443037974683544,53196
2014-11-30,"Amarillo, TX","TX",181,1174,0.00427715996578272,0.0138169257340242,0.0444839857651246,56370
2014-11-30,"Gulfport, MS","MS",182,1026,0.00588235294117647,-0.0115606936416185,-0.0256410256410256,62110
2014-11-30,"Yakima, WA","WA",183,1054,0.0363815142576204,0.076608784473953,0.0363815142576204,59111
2014-11-30,"Waco, TX","TX",184,1096,-0.0249110320284698,-0.0196779964221825,0.0970970970970971,64281
2014-11-30,"Topeka, KS","KS",185,949,0.00211193241816262,0.0106496272630458,-0.0236625514403292,64926
2014-11-30,"Macon, GA","GA",186,941,0.00749464668094218,0.019501625135428,0.0306681270536692,56795
2014-11-30,"Champaign-Urbana, IL","IL",187,1045,-0.0178571428571429,-0.000956022944550669,-0.0150801131008483,61207
2014-11-30,"College Station, TX","TX",188,1402,0.0241051862673484,0.0462686567164179,0.0346863468634686,46002
2014-11-30,"Sioux Falls, SD","SD",189,1141,-0.0121212121212121,-0.0297619047619048,-0.0264505119453925,49179
2014-11-30,"Appleton, WI","WI",190,1016,0.00793650793650794,-0.0164569215876089,0.00395256916996047,60415
2014-11-30,"Chico, CA","CA",191,1235,0.0048820179007323,0.018976897689769,0.018976897689769,55667
2014-11-30,"Tuscaloosa, AL","AL",192,1048,0.00769230769230769,0.0194552529182879,0.00383141762452107,91022
2014-11-30,"Prescott, AZ","AZ",193,1288,0.00703674745895231,0.0157728706624606,0.0796311818943839,68356
2014-11-30,"Springfield, IL","IL",194,1104,-0.0315789473684211,-0.0238726790450928,-0.154022988505747,66113
2014-11-30,"Tyler, TX","TX",195,1233,0.00653061224489796,0.0156507413509061,0.0292153589315526,53831
2014-11-30,"Las Cruces, NM","NM",196,964,-0.00515995872033024,-0.00515995872033024,-0.0242914979757085,49642
2014-11-30,"Fargo, ND","ND",197,1255,-0.0233463035019455,-0.00396825396825397,0.19980879541109,37487
2014-11-30,"Houma, LA","LA",198,1305,0,-0.00684931506849315,-0.012112036336109,45528
2014-11-30,"Florence, SC","SC",199,992,0.00915564598168871,0.0354906054279749,0.0387434554973822,68316
2014-11-30,"Medford, OR","OR",200,1204,0.00584795321637427,0.0168918918918919,0.0460469157254561,43549
2014-11-30,"Lafayette, IN","IN",201,993,-0.0197433366238894,-0.0442733397497594,0.0101729399796541,50223
2014-11-30,"Charlottesville, VA","VA",202,1468,0.00273224043715847,0.0117160578911096,0.0265734265734266,59108
2014-11-30,"Bellingham, WA","WA",203,1399,0.0130340333091962,0.0370644922164566,0.0219138056975895,62026
