"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2014-11-30,"Central Southwest","TX","Houston","Harris","Houston",109,1240,0.00813008130081301,0.0214168039538715,0.0562180579216354,16162
2014-11-30,"North Hills","CA","Los Angeles","Los Angeles","Los Angeles",110,2416,0.00750625521267723,0.0202702702702703,0.040930633347695,10996
2014-11-30,"South Dorchester","MA","Boston","Suffolk","Boston",111,2296,0.00437445319335083,0.00481400437636762,0.0693991616208663,5266
2014-11-30,"Roxbury","MA","Boston","Suffolk","Boston",112,2431,0.0158796489761805,0.0205709487825357,0.0852678571428572,2842
2014-11-30,"South Belt - Ellington","TX","Houston","Harris","Houston",113,1350,0.00671140939597316,0.0158013544018059,0.0613207547169811,12895
2014-11-30,"Southeast Colorado Springs","CO","Colorado Springs","El Paso","Colorado Springs",114,1140,0.0160427807486631,0.0506912442396313,0.0734463276836158,14273
2014-11-30,"Clear Lake","TX","Houston","Harris","Houston",115,1649,0.0104166666666667,0.0147692307692308,0.0638709677419355,16707
2014-11-30,"Northside-Northline","TX","Houston","Harris","Houston",116,1205,-0.000829187396351575,0.0168776371308017,0.109576427255985,11007
2014-11-30,"Park Slope","NY","New York","Kings","New York",117,2771,-0.0173758865248227,-0.0361739130434783,0.0225092250922509,3386
2014-11-30,"Cedar Crest","TX","Dallas-Fort Worth","Dallas","Dallas",118,875,0.00922722029988466,0.016260162601626,0.0318396226415094,17827
2014-11-30,"Oxford Circle","PA","Philadelphia","Philadelphia","Philadelphia",119,1094,-0.011743450767841,0.0120259019426457,0.0810276679841897,17147
2014-11-30,"East Colorado Springs","CO","Colorado Springs","El Paso","Colorado Springs",120,1234,0.0114754098360656,0.0240663900414938,0.0266222961730449,18422
2014-11-30,"Northeast Raleigh","NC","Raleigh","Wake","Raleigh",121,1208,0.00582847626977519,0.00834724540901502,0.0185497470489039,20161
2014-11-30,"Green Run","VA","Virginia Beach","Virginia Beach City","Virginia Beach",122,1362,0.00368459837877671,0.0103857566765579,0.0111358574610245,17074
2014-11-30,"Winnetka Heights","TX","Dallas-Fort Worth","Dallas","Dallas",123,1119,0.0191256830601093,0.0322878228782288,0.0843023255813953,9480
2014-11-30,"Wilmington","CA","Los Angeles","Los Angeles","Los Angeles",124,2161,0.00981308411214953,0.042953667953668,0.0821231847771658,7395
2014-11-30,"Mission","CA","San Francisco","San Francisco","San Francisco",125,4352,0.000229832222477591,0.0443964482841373,0.143457698370993,4202
2014-11-30,"Archer Heights","IL","Chicago","Cook","Chicago",126,1412,-0.00981767180925666,-0.00912280701754386,0.0121863799283154,5037
2014-11-30,"Bath Beach","NY","New York","Kings","New York",127,2011,-0.0199805068226121,-0.0694123091161499,-0.0620335820895522,1944
2014-11-30,"Northeast Colorado Springs","CO","Colorado Springs","El Paso","Colorado Springs",128,1321,0.00685975609756098,0.0122605363984674,0.029618082618862,17490
2014-11-30,"Central Colorado Springs","CO","Colorado Springs","El Paso","Colorado Springs",129,1163,0.00954861111111111,0.0246696035242291,0.0477477477477477,15788
2014-11-30,"Raleigh","TN","Memphis","Shelby","Memphis",130,866,-0.00230414746543779,-0.00574052812858783,0.0152403282532239,14224
2014-11-30,"Woodward Park","CA","Fresno","Fresno","Fresno",131,1574,-0.00190234622701332,0.0161394448030988,0.0348454963839579,17033
2014-11-30,"Kingwood Area","TX","Houston","Harris","Houston",132,1799,0.00390625,0.00334634690462911,0.0362903225806452,19994
2014-11-30,"Greater Fondren Southwest","TX","Houston","Harris","Houston",133,1336,0.00678221552373775,0.0144267274107821,0.0511408339889851,11340
2014-11-30,"Central City","AZ","Phoenix","Maricopa","Phoenix",134,933,0.00864864864864865,0.0264026402640264,0.0459641255605381,8998
2014-11-30,"Gramercy","NY","New York","New York","New York",135,3592,-0.0134578412524032,-0.0153508771929825,0.0169875424688562,3421
2014-11-30,"South Austin","IL","Chicago","Cook","Chicago",136,1414,0.00283687943262411,0.0172661870503597,0.0366568914956012,4533
2014-11-30,"Brownsville","NY","New York","Kings","New York",137,1987,-0.0216642048252093,-0.0520038167938931,-0.0340301409820126,1456
2014-11-30,"Lower Valley","TX","El Paso","El Paso","El Paso",138,875,-0.0112994350282486,-0.00568181818181818,0.0257913247362251,11224
2014-11-30,"Encino","CA","Los Angeles","Los Angeles","Los Angeles",139,3243,0.00589330024813896,0.0291970802919708,0.101936799184506,15280
2014-11-30,"Ozone Park","NY","New York","Queens","New York",140,1885,-0.00789473684210526,0.00106213489113117,0.0328767123287671,3554
2014-11-30,"The Heights","NJ","New York","Hudson","Jersey City",141,2225,0.0122838944494995,0.0421545667447307,0.110279441117764,7551
